"nobs","model","kernel","criterion","mean_ISE","sd_ISE","median_ISE","IQR_ISE","mean_IAE","sd_IAE","median_IAE","IQR_IAE","mean_time_min"
125,1,"smlnorm","lcv",0.00297201592751006,0.00192805529063812,0.00245467858934155,0.00160976201582258,0.494423298515397,0.0429869803655698,0.493488210271662,0.0582986656896441,6.42243908060094
125,2,"smlnorm","lcv",0.00185153054071902,0.00125893787444252,0.00154991830505946,0.00112048264495635,0.435966689098338,0.0487176727775052,0.437722787144277,0.0678366974090155,5.25242844745517
125,3,"smlnorm","lcv",23.721660931387,7.78585769952439,22.2939873944596,11.6156527869603,0.437062724105324,0.0555985392849968,0.434628919401461,0.0708456829119922,3.84911376613503
125,4,"smlnorm","lcv",6.53302656918732,1.78291409176401,6.59986127540939,2.60994902375608,0.4097890490175,0.0435980595815437,0.413862169577445,0.0563538712938406,3.81797970232243
125,5,"smlnorm","lcv",0.0761892023387029,0.300998946452352,0.0257065402977573,0.0296546950165007,0.385793892229666,0.0474322261023436,0.38310514226514,0.0623713726935435,3.75049301550413
125,6,"smlnorm","lcv",132190.806893382,232374.466083942,25689.0026948061,61814.1088545874,0.513282449551361,0.0657879038020009,0.507155849277304,0.0821957716866552,4.55981388551494
125,1,"smnorm","lcv",0.00505854085317236,0.000431431717836948,0.00505540934443691,0.000646953326786509,0.686734173585027,0.0296857284976281,0.686395856509989,0.0364086164315094,2.56795056328798
125,2,"smnorm","lcv",0.00213693377320505,0.000423240157861139,0.00211270206122027,0.000517643401126342,0.495616586681283,0.0348527567046744,0.490375756434876,0.049178914572024,2.25174885829911
125,3,"smnorm","lcv",123.390118215056,8.51855233337849,125.218979146586,4.98271875036144,1.15913536413125,0.0412384639002694,1.16952163641596,0.0636143415011754,0.716441070319464
125,4,"smnorm","lcv",33.0713799622332,4.39799867711218,33.3660020582585,6.50253645988984,0.901936776398647,0.0836357309592285,0.892713949699767,0.113359822811182,0.96456339135766
125,5,"smnorm","lcv",0.0617293998719858,0.00177987388425511,0.0621622911360297,0.000204009586728657,0.935369302264201,0.029612978402854,0.942070402756204,0.0163086830768765,0.34386190433676
125,6,"smnorm","lcv",NA,NA,NA,NA,0.940516778789251,0.0599507536331805,0.935973273073429,0.083669300072259,0.404906474674741
125,1,"Wishart","lcv",0.00288554181450521,0.00185049019299915,0.00254039039081484,0.00104298939876503,0.674657579949728,0.135076340341792,0.638360593607573,0.116882200793619,27.1744141187519
125,2,"Wishart","lcv",0.00187524678020666,0.000967924716438352,0.0016024040739961,0.000856295157478441,0.560667828508663,0.0896436086886485,0.545376018524668,0.0971492023890972,23.5838812566673
125,3,"Wishart","lcv",24.4334830518612,7.98820495394487,23.5659896196754,11.303330506499,0.439337810203757,0.0575370585840534,0.432269692192447,0.0774509748765533,19.8916719288565
125,4,"Wishart","lcv",7.17922074454608,1.99430525612269,7.08842318846073,2.78512085285197,0.42552946742412,0.0463410792790146,0.425374366524588,0.0494902680373324,19.136512570673
125,5,"Wishart","lcv",0.0446647277991924,0.0980108747143546,0.0244822903326955,0.0152997794456891,0.661514449343979,0.15862157531739,0.629485136153226,0.129830680561129,23.2094241697341
125,6,"Wishart","lcv",NA,NA,NA,NA,1.19177913184259,0.108653036923475,1.18064195830997,0.133456227110899,2.38508475571871
125,1,"smlnorm","lscv",0.00434047814878124,0.00335192391265677,0.00330490516353841,0.00208574858866251,0.486135864108496,0.0444729644665343,0.48502615819474,0.0523345602295654,9.66856996084874
125,2,"smlnorm","lscv",0.00269908542408685,0.00232935900689379,0.00220893480390914,0.00161337718102958,0.427222484427171,0.0422545226511106,0.428497283937898,0.0547525152208441,7.25327573691805
125,3,"smlnorm","lscv",19.7467973292236,7.17856121082928,18.3560940289989,9.02962857676089,0.428402165953566,0.0463467816343867,0.427626272018569,0.0543332019983273,6.01561340087404
125,4,"smlnorm","lscv",5.54814914645611,1.70310030867185,5.64433294975888,2.42914589326108,0.404360553071476,0.0407187197303561,0.402834974132301,0.0532630625146693,5.75857216188063
125,5,"smlnorm","lscv",0.175166591965748,1.22553302141493,0.0295718497841643,0.0377147276958818,0.398673563386884,0.0526841283434435,0.394478618304008,0.0648857093650532,6.28327945573255
125,6,"smlnorm","lscv",262586.95359883,498436.719479377,18477.5332252074,273711.804262236,0.469259319866006,0.0449828090316303,0.468918118481662,0.0653119952907288,8.05306842022886
125,1,"Wishart","lscv",0.00261174808452697,0.000882702443037439,0.00245672938753318,0.000780790932981947,0.732062049184516,0.150353153401627,0.699921634744382,0.133036385305893,23.8774266568633
125,2,"Wishart","lscv",0.00174803035357258,0.000933840479079994,0.00151192134100656,0.00068564862011223,0.67501146452063,0.159694022633884,0.637488734796081,0.177965755385291,17.8964772842204
125,3,"Wishart","lscv",21.7649233619706,8.00328517270594,20.1955953014359,9.9841303155093,0.455210566716055,0.0611228152188324,0.441801497250281,0.0807491579882721,37.7551063394795
125,4,"Wishart","lscv",6.3640395519257,2.19534265980215,6.12368239879234,2.67040568353532,0.438102639525711,0.0592272170636996,0.425873843451346,0.0607672452098712,35.2966536807517
125,5,"Wishart","lscv",0.0285913100290953,0.0122537843644632,0.0247553584869493,0.0114820060135545,0.722642807792924,0.180927136100934,0.687926544659871,0.229472696857417,21.3149120582578
125,6,"Wishart","lscv",NA,NA,NA,NA,1.04643956234863,NA,1.04643956234863,0,0.772933541921278
