"nobs","Mmod","Smod","kernel","logISE","bandwidth","timing"
125,1,1,"Wishart",NA,0.286605641350524,1.0571448802948
125,1,1,"smlnorm",NA,0.153353380982319,0.00783705711364746
125,1,1,"Wishart",NA,0.112621529560053,1.0563747882843
125,1,1,"smlnorm",NA,0.0620005630907796,0.00827527046203613
125,1,1,"Wishart",NA,0.358367812527028,0.994447469711304
125,1,1,"smlnorm",NA,0.166310182523735,0.00794386863708496
125,1,1,"Wishart",NA,0.49355953839026,1.02063798904419
125,1,1,"smlnorm",NA,0.121388583708528,0.00822615623474121
125,1,1,"Wishart",NA,0.0673305948514105,1.09561443328857
125,1,1,"smlnorm",NA,0.135848901446412,0.0081486701965332
125,1,1,"Wishart",NA,0.254345285478804,1.07531571388245
125,1,1,"smlnorm",NA,0.158454024529155,0.00749778747558594
125,1,1,"Wishart",NA,0.141934213165453,1.02337431907654
125,1,1,"smlnorm",NA,0.141290231197811,0.00729227066040039
125,1,1,"Wishart",NA,0.243131190583571,1.02996897697449
125,1,1,"smlnorm",NA,0.112702711329241,0.00822114944458008
125,1,1,"Wishart",NA,0.317994006501144,0.956462383270264
125,1,1,"smlnorm",NA,0.114608137468985,0.00827860832214355
125,1,1,"Wishart",NA,0.139261194829839,1.06965780258179
125,1,1,"smlnorm",NA,0.133484159450882,0.00749468803405762
125,1,1,"Wishart",NA,0.12254098629503,1.13429546356201
125,1,1,"smlnorm",NA,0.142765295099362,0.00744080543518066
125,1,1,"Wishart",NA,0.398837279177154,1.01072454452515
125,1,1,"smlnorm",NA,0.153970832608415,0.00786352157592773
125,1,1,"Wishart",NA,0.130077633125498,1.07320594787598
125,1,1,"smlnorm",NA,0.126976734059201,0.00788497924804688
125,1,1,"Wishart",NA,0.238430434171223,0.959230184555054
125,1,1,"smlnorm",NA,0.138838617288241,0.00790524482727051
125,1,1,"Wishart",NA,0.342674248022243,0.934636116027832
125,1,1,"smlnorm",NA,0.16719787267817,0.0075535774230957
125,1,1,"Wishart",NA,0.303613076109356,0.996766090393066
125,1,1,"smlnorm",NA,0.101986606602635,0.00835990905761719
125,1,1,"Wishart",NA,0.48209997338839,0.934150457382202
125,1,1,"smlnorm",NA,0.150217863462112,0.00937390327453613
125,1,1,"Wishart",NA,0.220638717585473,0.974867343902588
125,1,1,"smlnorm",NA,0.184356310270268,0.00789952278137207
125,1,1,"Wishart",NA,0.214025693563065,0.934359788894653
125,1,1,"smlnorm",NA,0.211934392590683,0.00822591781616211
125,1,1,"Wishart",NA,0.267821651999344,0.973673582077026
125,1,1,"smlnorm",NA,0.203567660172358,0.0079801082611084
125,1,1,"Wishart",NA,0.235995576033848,1.00205540657043
125,1,1,"smlnorm",NA,0.233518460104465,0.00681471824645996
125,1,1,"Wishart",NA,0.267814331531952,0.944991827011108
125,1,1,"smlnorm",NA,0.182782734341325,0.00798869132995605
125,1,1,"Wishart",NA,0.187039649233016,0.990678071975708
125,1,1,"smlnorm",NA,0.208469379378402,0.00753331184387207
125,1,1,"Wishart",NA,0.277867124230536,0.944405794143677
125,1,1,"smlnorm",NA,0.181914894273644,0.00802826881408691
125,1,1,"Wishart",NA,0.107444384056899,0.998088836669922
125,1,1,"smlnorm",NA,0.133375828281834,0.00755620002746582
125,1,1,"Wishart",NA,0.272741947510045,0.992511510848999
125,1,1,"smlnorm",NA,0.183684175664213,0.00793218612670898
125,1,1,"Wishart",NA,0.190297864341936,1.05304837226868
125,1,1,"smlnorm",NA,0.116752850718238,0.00824856758117676
125,1,1,"Wishart",NA,0.128652641690775,1.02794003486633
125,1,1,"smlnorm",NA,0.183003340493961,0.00792407989501953
125,1,1,"Wishart",NA,0.234671683203042,0.946196794509888
125,1,1,"smlnorm",NA,0.123644430031125,0.00836634635925293
125,1,1,"Wishart",NA,0.187989584921094,1.03990817070007
125,1,1,"smlnorm",NA,0.136289671937975,0.00789284706115723
125,1,1,"Wishart",NA,0.183462718763156,0.997556686401367
125,1,1,"smlnorm",NA,0.210790726753773,0.00757575035095215
125,1,1,"Wishart",NA,0.275662159357825,1.04726600646973
125,1,1,"smlnorm",NA,0.20672617470504,0.00785279273986816
125,1,1,"Wishart",NA,0.157027905757357,0.998300790786743
125,1,1,"smlnorm",NA,0.0902332041134433,0.0090644359588623
125,1,1,"Wishart",NA,0.193201030201041,0.994021892547607
125,1,1,"smlnorm",NA,0.165171155673118,0.00720667839050293
125,1,1,"Wishart",NA,0.255241553662744,0.945683479309082
125,1,1,"smlnorm",NA,0.132601255191142,0.00762104988098145
125,1,1,"Wishart",NA,0.0876342053206082,1.00134801864624
125,1,1,"smlnorm",NA,0.101626023115863,0.00758552551269531
125,1,1,"Wishart",NA,0.208452078376522,0.986438989639282
125,1,1,"smlnorm",NA,0.21315020883383,0.00725817680358887
125,1,1,"Wishart",NA,0.14891017392413,1.0399694442749
125,1,1,"smlnorm",NA,0.152916244455829,0.00788211822509766
125,1,1,"Wishart",NA,0.0972297408517616,1.10267305374146
125,1,1,"smlnorm",NA,0.0960758173941855,0.00817370414733887
125,1,1,"Wishart",NA,0.195059245655308,1.08956360816956
125,1,1,"smlnorm",NA,0.102769237822895,0.00822186470031738
125,1,1,"Wishart",NA,0.282379553462725,0.939833879470825
125,1,1,"smlnorm",NA,0.204567245453658,0.00806283950805664
125,1,1,"Wishart",NA,0.105320675993853,1.1305730342865
125,1,1,"smlnorm",NA,0.0937149325250057,0.00823140144348145
125,1,1,"Wishart",NA,1.69317095738824,0.934298992156982
125,1,1,"smlnorm",NA,0.152142294898762,0.0089411735534668
125,1,1,"Wishart",NA,0.162052718411034,0.934251546859741
125,1,1,"smlnorm",NA,0.155153006724179,0.00906062126159668
125,1,1,"Wishart",NA,0.229991018973861,0.939555644989014
125,1,1,"smlnorm",NA,0.187297523089452,0.0079948902130127
125,1,1,"Wishart",NA,0.114564564886145,1.04253578186035
125,1,1,"smlnorm",NA,0.259775535846936,0.00715494155883789
125,1,1,"Wishart",NA,0.192311472659622,0.995439052581787
125,1,1,"smlnorm",NA,0.194873300358371,0.00786757469177246
125,1,1,"Wishart",NA,0.339982485403635,0.962786912918091
125,1,1,"smlnorm",NA,0.242185989485934,0.00756001472473145
125,1,1,"Wishart",NA,0.100702462637816,1.05065512657166
125,1,1,"smlnorm",NA,0.14639299483765,0.0074927806854248
125,1,1,"Wishart",NA,0.379564340598628,0.93593430519104
125,1,1,"smlnorm",NA,0.147176694664671,0.00793886184692383
125,1,1,"Wishart",NA,0.183528489490593,0.997030735015869
125,1,1,"smlnorm",NA,0.142396413895173,0.00756525993347168
125,1,1,"Wishart",NA,0.309412216608353,0.999865770339966
125,1,1,"smlnorm",NA,0.173427196385826,0.00792694091796875
125,1,1,"Wishart",NA,0.296462418919047,0.980448484420776
125,1,1,"smlnorm",NA,0.195320992076026,0.00790238380432129
125,1,1,"Wishart",NA,0.158957400270776,0.934170961380005
125,1,1,"smlnorm",NA,0.170566852421671,0.00934219360351562
125,1,1,"Wishart",NA,0.203437930107216,0.999303102493286
125,1,1,"smlnorm",NA,0.116670164650186,0.00820112228393555
125,1,1,"Wishart",NA,0.212784741081823,1.0248556137085
125,1,1,"smlnorm",NA,0.24457695449541,0.00783181190490723
125,1,1,"Wishart",NA,0.263091348724109,0.934286832809448
125,1,1,"smlnorm",NA,0.174840957301799,0.00827980041503906
125,1,1,"Wishart",NA,0.133631313398608,0.96335768699646
125,1,1,"smlnorm",NA,0.140495492780114,0.00757813453674316
125,1,1,"Wishart",NA,0.145423307393209,1.03612351417542
125,1,1,"smlnorm",NA,0.149826121120708,0.00823497772216797
125,1,1,"Wishart",NA,0.098319743244457,0.995247364044189
125,1,1,"smlnorm",NA,0.0998382898583777,0.00764346122741699
125,1,1,"Wishart",NA,0.218428056082685,0.938452243804932
125,1,1,"smlnorm",NA,0.183053177722462,0.00800657272338867
125,1,1,"Wishart",NA,0.217821675491106,0.952299118041992
125,1,1,"smlnorm",NA,0.170494636160464,0.00834107398986816
125,1,1,"Wishart",NA,0.134022901944299,0.941917419433594
125,1,1,"smlnorm",NA,0.244672996868882,0.00762224197387695
125,1,1,"Wishart",NA,0.450493794342239,0.944111585617065
125,1,1,"smlnorm",NA,0.144047389754697,0.00799798965454102
125,1,1,"Wishart",NA,0.189271248733133,0.992035388946533
125,1,1,"smlnorm",NA,0.109969513442004,0.00829291343688965
125,1,1,"Wishart",NA,0.227485843688189,0.936050653457642
125,1,1,"smlnorm",NA,0.11697096911516,0.0083920955657959
125,1,1,"Wishart",NA,0.171603085681673,0.986562728881836
125,1,1,"smlnorm",NA,0.142847444089884,0.00752353668212891
125,1,1,"Wishart",NA,3.15896919456681,0.945605278015137
125,1,1,"smlnorm",NA,0.129951410452832,0.00804591178894043
125,1,1,"Wishart",NA,0.195221532430305,0.992110729217529
125,1,1,"smlnorm",NA,0.134386021619301,0.00756335258483887
125,1,1,"Wishart",NA,0.249745029794294,0.94803261756897
125,1,1,"smlnorm",NA,0.11195164594949,0.00833940505981445
125,1,1,"Wishart",NA,0.198961941445769,0.997507095336914
125,1,1,"smlnorm",NA,0.140251861118866,0.00754523277282715
125,1,1,"Wishart",NA,0.518286654581324,0.934261798858643
125,1,1,"smlnorm",NA,0.135307333616965,0.00900006294250488
125,1,1,"Wishart",NA,0.213771976930452,0.934270858764648
125,1,1,"smlnorm",NA,0.172858850701675,0.00896668434143066
125,1,1,"Wishart",NA,0.586782280127175,0.939807653427124
125,1,1,"smlnorm",NA,0.187054681114371,0.00804924964904785
125,1,1,"Wishart",NA,0.195122772965235,0.993326187133789
125,1,1,"smlnorm",NA,0.17376895089379,0.00751876831054688
125,1,1,"Wishart",NA,0.14215358803567,0.995532751083374
125,1,1,"smlnorm",NA,0.104893782375977,0.00786757469177246
125,1,1,"Wishart",NA,0.0989172606639089,0.99005651473999
125,1,1,"smlnorm",NA,0.103627819541795,0.00829386711120605
125,1,1,"Wishart",NA,0.154098004239672,1.07124209403992
125,1,1,"smlnorm",NA,0.145079263125173,0.00750470161437988
125,1,1,"Wishart",NA,0.127146278387526,0.987385988235474
125,1,1,"smlnorm",NA,0.102117324179733,0.00826930999755859
