"r","host","r_version","R_LIBS_USER","libpaths_before","libpaths_after","ksm_found_initial","ksm_version_initial","ksm_path_initial","ksm_found_after_hint","ksm_version_after_hint","ksm_path_after_hint","search_path"
1,"nc31214","4 3.1","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",".GlobalEnv | package:fs | package:parallel | package:future.batchtools | package:parallelly | package:doFuture | package:future | package:foreach | package:stats | package:graphics | package:grDevices | package:utils | package:datasets | package:methods | Autoloads | package:base"
2,"nc31214","4 3.1","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",".GlobalEnv | package:fs | package:parallel | package:future.batchtools | package:parallelly | package:doFuture | package:future | package:foreach | package:stats | package:graphics | package:grDevices | package:utils | package:datasets | package:methods | Autoloads | package:base"
3,"nc31215","4 3.1","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",".GlobalEnv | package:fs | package:parallel | package:future.batchtools | package:parallelly | package:doFuture | package:future | package:foreach | package:stats | package:graphics | package:grDevices | package:utils | package:datasets | package:methods | Autoloads | package:base"
4,"nc31214","4 3.1","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3;/cvmfs/soft.computecanada.ca/easybuild/software/2023/x86-64-v3/Compiler/gcccore/r/4.3.1/lib64/R/library",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",TRUE,"1.0","/home/fouimet/R/x86_64-pc-linux-gnu-library/4.3/ksm",".GlobalEnv | package:fs | package:parallel | package:future.batchtools | package:parallelly | package:doFuture | package:future | package:foreach | package:stats | package:graphics | package:grDevices | package:utils | package:datasets | package:methods | Autoloads | package:base"
